lambda,avg_kv,seq_len,num_evict,accuracy
x,4112,32861.7333333333,75.4666666666667,0.2667
0.08,4035.88333333333,28155.9333333333,19,0.6667
0.16,3803.93703703704,23962.2333333333,6.26666666666667,0.7667
0.32,3288.76296296296,24775.1666666667,2.56666666666667,0.8
0.64,2627.26666666667,27091.9,0.533333333333333,0.7333
1.28,1651.16666666667,26087.9666666667,0,0.8333
