tokens,component,memory
100K,Model Weights,14.9575
100K,KV Cache,12.2267
200K,Model Weights,14.9575
200K,KV Cache,24.4397
300K,Model Weights,14.9575
300K,KV Cache,36.6527
400K,Model Weights,14.9575
400K,KV Cache,48.8657
