tokens,method,component,latency
200K,Full,Non-Attention,19.1549
200K,Full,Attention,66.5678
200K,WG-KV,Non-Attention,23.9404
200K,WG-KV,Attention,21.2649
300K,Full,Non-Attention,19.1349
300K,Full,Attention,102.4296
300K,WG-KV,Non-Attention,24.019
300K,WG-KV,Attention,29.6622
400K,Full,Non-Attention,19.0792
400K,Full,Attention,133.9294
400K,WG-KV,Non-Attention,24.096
400K,WG-KV,Attention,35.9695
500K,Full,Non-Attention,NA
500K,Full,Attention,NA
500K,WG-KV,Non-Attention,24.3404
500K,WG-KV,Attention,45.4068
