lambda,avg_kv,seq_len,accuracy
Off,22027.7333333333,22021.5666666667,0.8
0.08,9069.58148148148,23214.8,0.8
0.16,6010.36666666667,23632,0.8667
0.32,4269.56111111111,25225,0.8
0.64,2696.14814814815,25717.1666666667,0.7667
1.28,1734.68888888889,28007.7333333333,0.6667
